Start_Year,End_Year,G,MP,FG%,Distance,0_24,0_8,8_16,16_24,24+
1996,1997,9,133,0.382,16.7,0.469,0.556,0.375,0.333,0.261
1997,1998,11,220,0.408,13.3,0.452,0.425,0.692,0.222,0.214
1998,1999,8,315,0.43,12.8,0.445,0.507,0.412,0.318,0.348
1999,2000,22,857,0.442,14.3,0.461,0.507,0.388,0.455,0.344
2000,2001,16,694,0.469,11.4,0.485,0.56,0.448,0.388,0.324
2001,2002,19,833,0.434,11.8,0.442,0.503,0.413,0.353,0.379
2002,2003,12,531,0.432,13.6,0.439,0.505,0.446,0.352,0.403
2003,2004,22,973,0.413,13.9,0.457,0.599,0.355,0.336,0.247
2005,2006,7,314,0.497,15,0.527,0.68,0.455,0.388,0.4
2006,2007,5,215,0.462,14.5,0.49,0.587,0.375,0.425,0.357
2007,2008,21,863,0.479,13.9,0.532,0.631,0.5,0.421,0.302
2008,2009,23,940,0.457,14.6,0.483,0.526,0.451,0.464,0.349
2009,2010,23,923,0.458,15.1,0.487,0.536,0.475,0.435,0.374
2010,2011,10,354,0.446,14.6,0.49,0.542,0.468,0.436,0.293
2011,2012,12,476,0.439,13.9,0.477,0.518,0.529,0.385,0.283
