Start_Year,End_Year,G,MP,FG%,Distance,0_24,0_8,8_16,16_24,24+
1996,1997,71,1103,0.417,14.5,0.437,0.469,0.273,0.46,0.375
1997,1998,79,2056,0.428,13.7,0.456,0.537,0.345,0.323,0.341
1998,1999,50,1896,0.465,13.1,0.494,0.634,0.392,0.373,0.267
1999,2000,66,2524,0.468,12.8,0.489,0.565,0.397,0.435,0.319
2000,2001,68,2783,0.464,12.8,0.489,0.566,0.462,0.41,0.305
2001,2002,80,3063,0.469,12,0.489,0.586,0.45,0.394,0.25
2002,2003,82,3401,0.451,13.9,0.465,0.571,0.361,0.421,0.383
2003,2004,65,2447,0.438,11.9,0.463,0.524,0.39,0.376,0.327
2004,2005,66,2689,0.433,13.9,0.472,0.553,0.36,0.384,0.339
2005,2006,80,3277,0.45,15.1,0.482,0.567,0.455,0.421,0.347
2006,2007,77,3140,0.463,14.5,0.497,0.576,0.488,0.426,0.344
2007,2008,82,3192,0.459,14.4,0.49,0.613,0.436,0.374,0.361
2008,2009,82,2960,0.467,14,0.496,0.589,0.448,0.424,0.351
2009,2010,73,2835,0.456,13.5,0.487,0.53,0.483,0.429,0.329
2010,2011,82,2779,0.451,14.5,0.487,0.556,0.519,0.368,0.323
2011,2012,58,2232,0.43,15,0.464,0.547,0.403,0.422,0.303
2012,2013,78,3013,0.463,14.4,0.51,0.598,0.471,0.402,0.324
2013,2014,6,177,0.425,14.7,0.491,0.667,0.5,0.278,0.188
2014,2015,35,1207,0.373,15.2,0.401,0.476,0.311,0.389,0.293
2015,2016,66,1863,0.358,17.3,0.41,0.515,0.411,0.312,0.285
